id,title,author,isbn,parent_genre,genre,sub_genre,price,pages,publisher,year,description
0,Where the Crawdads Sing,Delia Owens,9781043321818,Fiction,"Crime, Thriller & Mystery",Thrillers and Suspense,3.56,422,Penguin Books,1954,Imprescindible para cualquier amante de la lectura; una historia que perdura en la memoria.
1,"Girl on the Train, The (RED)",Paula Hawkins,9780133890834,Fiction,"Crime, Thriller & Mystery",Thrillers and Suspense,3.67,380,Random House,1967,"Narración brillante que combina suspense, emoción y reflexión filosófica."
2,"THE SILENT PATIENT [Paperback] Michaelides, Alex",Alex Michaelides,9787940265426,Fiction,"Crime, Thriller & Mystery",Thrillers and Suspense,2.98,272,Macmillan Publishers,1968,"Escrita con una prosa elegante, esta obra es un referente en la literatura contemporánea."
3,"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and TikTok sensation",Alex Michaelides,9781615594079,Lifestyle & Leisure,"Arts, Film & Photography",Theory & Criticism,2.14,284,Macmillan Publishers,2016,Un viaje apasionante a través de ideas que transforman la manera de ver el mundo.
4,"THE SILENT PATIENT [Paperback] Michaelides, Alex",Alex Michaelides,9781849593100,Fiction,Literature & Fiction,"Crime, Thriller & Mystery",2.98,703,Penguin Books,1986,Un viaje apasionante a través de ideas que transforman la manera de ver el mundo.
5,Kunex It Ends With Us : ''Sometimes The One Who Loves You Is The One Who Hurts You The Most'',Colleen Hoover,9783164752556,Fiction,Literature & Fiction,"Crime, Thriller & Mystery",3.24,767,Simon & Schuster,1953,Una novela que desafía convenciones y ofrece una perspectiva fresca y reveladora.
6,Kunex It Ends With Us : ''Sometimes The One Who Loves You Is The One Who Hurts You The Most'',Colleen Hoover,9789283276485,Fiction,Romance,Contemporary,3.24,1006,Simon & Schuster,1978,Un relato profundo y emotivo que explora la condición humana con maestría literaria.
7,Kunex It Ends With Us : ''Sometimes The One Who Loves You Is The One Who Hurts You The Most'',Colleen Hoover,9783056413958,Fiction,Romance,New Adult & College,3.24,1084,Penguin Books,1997,Una novela que desafía convenciones y ofrece una perspectiva fresca y reveladora.
8,It Ends With Us: The emotional #1 Sunday Times bestseller,Colleen Hoover,9787242388496,Fiction,Romance,New Adult & College,1.88,798,Macmillan Publishers,2022,Repleta de personajes complejos y giros inesperados que no te dejarán soltar el libro.
9,"VERITY [Paperback] Hoover, Colleen",Colleen Hoover,9785328710126,Fiction,Literature & Fiction,"Crime, Thriller & Mystery",1.87,1197,HarperCollins,1996,Un relato profundo y emotivo que explora la condición humana con maestría literaria.
10,"VERITY [Paperback] Hoover, Colleen",Colleen Hoover,9781669784806,Fiction,"Crime, Thriller & Mystery",Thrillers and Suspense,1.87,607,Bloomsbury Publishing,1987,"Un clásico moderno que mezcla aventura, drama y crítica social de forma magistral."
11,Lessons in Chemistry,Garmus Bonnie,9785146270480,Non-Fiction,Society & Social Sciences,Society & Culture,4.05,1076,Bloomsbury Publishing,1989,"Narración brillante que combina suspense, emoción y reflexión filosófica."
12,Lessons in Chemistry: The multi-million-copy bestseller,Bonnie Garmus,9784893252889,Non-Fiction,Society & Social Sciences,Society & Culture,3.4,599,Random House,1970,Una obra maestra que redefine el género y cautiva al lector desde la primera página.
13,Reminders of Him: A Novel,Colleen Hoover,9787015430391,Fiction,Romance,New Adult & College,1.42,826,Macmillan Publishers,2022,"Cautivadora desde el primer capítulo, con un desenlace que sorprende y conmueve."
14,THE HOUSEMAID,Freida Mcfadden,9781822782482,Fiction,"Crime, Thriller & Mystery",Thrillers and Suspense,3.55,1019,HarperCollins,1989,Una obra maestra que redefine el género y cautiva al lector desde la primera página.
15,The Housemaid: An absolutely addictive psychological thriller with a jaw-dropping twist,Freida McFadden,9788346578710,Fiction,Literature & Fiction,"Crime, Thriller & Mystery",2.47,107,HarperCollins,2010,"Un clásico moderno que mezcla aventura, drama y crítica social de forma magistral."
16,THE HOUSEMAID,Freida Mcfadden,9785098393012,Fiction,Literature & Fiction,"Crime, Thriller & Mystery",3.55,802,HarperCollins,2006,Una obra maestra que redefine el género y cautiva al lector desde la primera página.
