order_id,customer_id,product_id,qty,date
1,1,104,1,2025-07-07
1,1,94,2,2025-12-04
1,1,389,2,2024-07-17
2,1,958,2,2025-08-07
2,1,334,2,2025-06-08
2,1,865,1,2026-02-19
2,1,975,1,2024-09-29
3,1,334,2,2026-05-09
3,1,506,2,2024-08-03
3,1,976,2,2024-10-19
4,1,521,2,2025-08-14
4,1,466,1,2025-10-12
5,2,465,2,2024-11-24
5,2,527,2,2024-09-01
6,2,701,1,2026-03-18
6,2,332,1,2024-12-02
7,2,410,1,2025-08-14
7,2,274,2,2025-09-01
7,2,67,1,2025-04-08
8,2,169,2,2025-08-06
8,2,293,2,2025-06-23
8,2,152,2,2026-04-20
8,2,292,2,2024-11-02
9,2,45,1,2025-11-11
9,2,814,1,2024-11-27
9,2,18,1,2025-03-22
9,2,933,2,2025-10-10
10,2,545,1,2025-01-11
10,2,405,1,2025-01-23
10,2,493,2,2025-12-07
10,2,293,2,2024-07-29
11,2,405,2,2025-05-07
11,2,21,1,2026-06-05
12,2,893,1,2026-06-04
12,2,626,1,2024-07-29
12,2,496,2,2024-11-08
13,2,707,2,2024-12-16
14,2,969,2,2026-04-19
14,2,892,1,2026-03-11
14,2,859,1,2026-03-10
15,3,87,2,2025-03-03
16,3,131,2,2024-09-29
16,3,675,1,2026-02-05
17,3,614,1,2025-11-02
17,3,937,2,2025-08-27
18,3,604,1,2026-05-28
18,3,527,1,2025-09-27
18,3,219,2,2024-06-11
18,3,467,1,2026-01-24
19,4,148,1,2025-01-10
20,4,148,2,2025-10-03
20,4,380,1,2026-04-23
20,4,767,1,2024-09-12
21,4,906,1,2024-08-29
21,4,888,1,2024-08-23
22,4,888,1,2025-07-15
22,4,987,1,2024-12-22
22,4,668,1,2025-08-22
23,4,668,1,2025-11-12
24,4,888,2,2024-11-01
24,4,486,2,2025-09-12
25,4,990,1,2024-12-15
25,4,148,1,2025-05-29
25,4,767,1,2026-03-29
25,4,669,2,2026-02-14
26,4,148,2,2024-08-12
26,4,380,2,2025-04-11
26,4,767,2,2024-12-25
26,4,990,2,2024-06-08
27,4,654,1,2025-12-21
27,4,791,1,2025-09-14
28,4,148,2,2024-12-14
28,4,990,1,2025-11-29
28,4,669,1,2025-07-14
29,5,959,1,2025-04-14
30,5,334,1,2024-06-13
30,5,959,1,2024-07-31
30,5,506,2,2026-03-13
30,5,975,2,2026-03-28
31,5,685,2,2025-07-09
31,5,733,1,2026-02-06
32,5,900,1,2025-08-05
32,5,710,2,2024-09-22
32,5,334,1,2024-09-07
33,5,488,1,2025-01-17
33,5,710,2,2026-03-25
33,5,334,2,2026-01-08
34,5,935,2,2026-02-25
35,5,961,1,2026-03-25
36,5,598,1,2024-11-06
36,5,976,2,2024-12-05
37,5,459,2,2024-08-20
37,5,62,2,2025-12-28
37,5,78,1,2026-03-14
37,5,920,1,2025-03-30
38,6,845,1,2025-09-02
38,6,841,1,2024-09-26
39,6,892,2,2026-04-16
40,6,63,1,2026-02-28
40,6,17,2,2026-05-20
40,6,177,1,2026-01-19
40,6,208,1,2026-03-12
41,6,134,1,2024-06-24
41,6,705,2,2025-11-26
41,6,841,1,2025-02-03
41,6,133,1,2026-04-17
42,6,705,1,2026-01-13
42,6,739,2,2026-02-27
42,6,133,1,2026-01-19
42,6,838,2,2024-12-18
43,6,739,1,2026-01-02
43,6,705,1,2024-08-24
43,6,133,2,2026-03-05
44,7,247,2,2026-02-23
44,7,860,2,2024-11-15
44,7,534,1,2026-01-23
45,7,611,1,2025-05-08
45,7,256,1,2025-01-15
46,7,368,1,2026-01-08
46,7,611,2,2024-11-19
46,7,557,1,2024-06-23
47,7,557,1,2024-10-25
48,7,741,1,2025-01-31
48,7,245,2,2026-02-27
48,7,861,2,2026-05-13
49,7,758,1,2024-12-27
49,7,256,2,2025-09-17
49,7,557,2,2025-03-25
49,7,139,1,2026-05-24
50,8,946,2,2025-07-02
51,8,767,1,2026-04-23
51,8,990,2,2024-08-29
51,8,380,1,2026-05-16
52,8,924,2,2024-10-14
52,8,946,1,2026-05-10
53,8,25,1,2024-12-17
53,8,47,2,2024-08-24
54,8,281,1,2025-04-19
54,8,986,2,2025-11-20
54,8,625,2,2025-01-21
54,8,575,2,2025-08-23
55,8,148,2,2025-06-14
56,8,148,1,2025-03-14
56,8,380,2,2025-08-01
56,8,990,2,2024-12-09
56,8,767,2,2025-11-06
57,8,990,2,2024-06-07
57,8,767,2,2026-04-13
57,8,148,1,2025-07-04
57,8,380,2,2025-11-13
58,8,380,2,2025-11-30
58,8,669,1,2025-10-09
58,8,990,2,2025-02-27
58,8,148,2,2024-07-27
59,8,380,1,2025-10-04
60,9,334,2,2025-02-02
60,9,865,2,2025-01-21
61,9,600,2,2026-02-15
62,9,978,2,2025-11-14
63,9,600,2,2025-01-11
64,10,425,2,2025-01-18
64,10,275,2,2025-03-31
65,10,523,1,2025-03-27
66,10,637,1,2025-01-08
66,10,546,2,2024-09-07
67,10,34,2,2025-04-09
68,10,523,2,2026-04-24
69,10,839,2,2025-10-14
69,10,993,2,2026-03-27
69,10,840,1,2025-08-29
69,10,795,2,2025-01-11
70,10,995,2,2025-07-11
71,10,287,1,2024-06-06
72,10,776,2,2025-01-01
72,10,712,1,2025-04-16
